trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-61.68273660625063,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-110.30533756848277,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-198.74553940093688,"{0: 19, 1: 2, 2: 3, 3: 3, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-160.55255393272273,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-7.231041458676705,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,1,-32.037922802428184,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-38.060462839622474,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,1,-61.449409399922274,"{0: 24, 1: 4, 2: 5, 3: 1, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,13,9.408319574010966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-120.11041641966436,"{0: 13, 1: 3, 2: 0, 3: 2, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,9,-1.2760889727819835,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,2,-156.06950669531528,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 3}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-41.76136118701356,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,3,-31.740663278170523,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,19,-32.58667369740786,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-32.14772819885384,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,17.237133170402654,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-21.754612980074626,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,11.472029954789186,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,12.43813675998364,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",30,8,-18.424113437590353,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-14.723961974069118,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,34.388659929908805,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,16,11.632489808918221,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,0,16.923888633824593,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",30,7,-16.653106035160064,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-42.162631845571035,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",20,14,11.608735337545463,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-6.4406314647157865,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",25,6,-47.61873699537791,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 1}",1
