trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-83.84585166656447,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.990025}",25,0,-169.07906673123836,"{0: 15, 1: 4, 2: 2, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",30,0,-123.26883775635861,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.980149500625}",20,0,-107.6165868853987,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975248753121875}",20,0,-110.35533674747849,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562656}",25,0,-188.19552796390263,"{0: 15, 1: 2, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094842}",20,0,-57.442924453770324,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9606930435754368}",30,0,-205.56387382048612,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575596}",35,0,-269.0129163126691,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 5}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",20,0,-77.65604352112479,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",25,0,-102.7775408543694,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-196.18118939306373,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",30,0,-213.05833278143956,"{0: 16, 1: 4, 2: 5, 3: 2, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",20,0,-20.005114895846443,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",25,0,-75.2354680325893,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",25,0,-149.29949051875818,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,0,-60.50066862072061,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",20,0,-103.23367381615586,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",25,0,-59.23831595735568,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",30,0,-276.7955160293862,"{0: 16, 1: 1, 2: 6, 3: 3, 4: 4}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,0,-93.74875619741479,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",30,0,-129.8979328839675,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",20,0,-40.09639717525537,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",25,0,-82.94948271219702,"{0: 18, 1: 3, 2: 1, 3: 2, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488012}",20,0,-143.2544985271206,"{0: 11, 1: 3, 2: 2, 3: 2, 4: 2}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340572}",20,0,-169.7395271202593,"{0: 9, 1: 1, 2: 6, 3: 2, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.873420096025387}",35,0,-150.98740280361744,"{0: 24, 1: 5, 2: 3, 3: 0, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.86905299554526}",25,0,-97.95352465617405,"{0: 15, 1: 3, 2: 4, 3: 3, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8647077305675337}",30,0,-139.5386438346588,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146961}",20,0,-87.79285964909323,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
31,False,"{'a': 0.5, 'e': 0.8560822709551226}",25,0,-132.25333477094804,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
32,False,"{'a': 0.5, 'e': 0.8518018596003469}",25,0,-6.4167136224986,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023452}",20,0,-100.45915229396391,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.8433051360508335}",20,1,-60.530150416651075,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 1}",1
35,False,"{'a': 0.5, 'e': 0.8390886103705792}",25,0,-135.9951433409692,"{0: 14, 1: 4, 2: 3, 3: 3, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",25,0,-78.75633365931742,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",25,0,-120.2184956463195,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.826565107974722}",20,0,-51.11254590316279,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.8224322824348484}",30,9,-40.48562152098695,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",30,0,-121.36755252379746,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",20,12,-18.06984232736037,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
42,False,"{'a': 0.5, 'e': 0.810157377815473}",20,0,-79.79510780766134,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.8061065909263957}",25,0,-189.94247638530297,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
44,False,"{'a': 0.5, 'e': 0.8020760579717637}",30,0,-117.4123785221195,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.7980656776819048}",20,0,-179.87996502449175,"{0: 8, 1: 4, 2: 3, 3: 3, 4: 2}",0
46,False,"{'a': 0.5, 'e': 0.7940753492934953}",20,0,-125.24904977483047,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.7901049725470278}",30,0,-145.84928343012518,"{0: 22, 1: 3, 2: 1, 3: 1, 4: 3}",0
48,False,"{'a': 0.5, 'e': 0.7861544476842928}",20,4,-54.04262324024206,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.7822236754458712}",20,0,-109.6849904912774,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.7783125570686419}",20,0,-87.1702270872632,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.7744209942832987}",20,0,-128.61773141106306,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
52,False,"{'a': 0.5, 'e': 0.7705488893118821}",20,0,-151.74350797595326,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
53,False,"{'a': 0.5, 'e': 0.7666961448653228}",30,0,-91.6547187060724,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.7628626641409961}",30,0,-196.07004994593322,"{0: 17, 1: 0, 2: 9, 3: 2, 4: 2}",0
55,False,"{'a': 0.5, 'e': 0.7590483508202912}",35,0,-42.18895846201216,"{0: 27, 1: 2, 2: 6, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.7552531090661897}",25,0,-106.62621061051541,"{0: 16, 1: 2, 2: 4, 3: 2, 4: 1}",0
57,False,"{'a': 0.5, 'e': 0.7514768435208588}",30,0,-54.718271784129165,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.7477194593032545}",30,0,-130.44153847118412,"{0: 21, 1: 2, 2: 1, 3: 5, 4: 1}",0
59,False,"{'a': 0.5, 'e': 0.7439808620067382}",25,0,-105.4800007736151,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.7402609576967045}",20,8,-72.55261689266293,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 2}",1
61,False,"{'a': 0.5, 'e': 0.736559652908221}",25,0,-150.0221779785758,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.7328768546436799}",30,0,-257.5093687199125,"{0: 15, 1: 4, 2: 4, 3: 3, 4: 4}",0
63,False,"{'a': 0.5, 'e': 0.7292124703704614}",20,0,-20.65733037040107,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
