trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,7,-92.20928098109451,"{0: 4, 1: 1, 2: 6, 3: 2, 4: 0}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-111.15292344028583,"{0: 9, 1: 5, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-122.00946221246159,"{0: 16, 1: 6, 2: 7, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,19,-35.15048456640014,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,15,-48.227456480682484,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-93.04034497079618,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,0,-216.29526233804066,"{0: 17, 1: 0, 2: 8, 3: 2, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,3,-55.15187546501018,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,0,-80.34940860927547,"{0: 20, 1: 3, 2: 5, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-166.11426961983645,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-128.2282070811615,"{0: 17, 1: 6, 2: 4, 3: 2, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-104.0368698430511,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-33.82935521811769,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-167.99590850455127,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-93.91932854040213,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-219.2730827217439,"{0: 11, 1: 1, 2: 9, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-168.36217985024413,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-97.62370090563796,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-77.41074199268414,"{0: 19, 1: 5, 2: 4, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-89.3614721623234,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-129.1689999368853,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,0,-109.29107338884398,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",25,0,-134.24733436828214,"{0: 18, 1: 0, 2: 3, 3: 2, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,0,-66.5314345022733,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-92.44446711045812,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-114.96892782536034,"{0: 15, 1: 1, 2: 7, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",20,0,-66.65314447438546,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,14,-1.2895477464883007,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",35,13,-68.80227780383925,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-107.59596003384706,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
